"Time","Bytes received","Bytes transmitted"
2020-11-26 16:39:00,3.028 kB,5.048 kB
2020-11-26 16:39:10,6.463 kB,8.011 kB
2020-11-26 16:39:20,26.5 kB,25.6 kB
2020-11-26 16:39:30,91.5 kB,91.5 kB
2020-11-26 16:39:40,123 kB,122 kB
2020-11-26 16:39:50,63.8 kB,63.4 kB
2020-11-26 16:40:00,43.9 kB,43.9 kB
2020-11-26 16:40:10,223 kB,224 kB
2020-11-26 16:40:20,5.479 kB,6.389 kB
2020-11-26 16:40:30,5.168 kB,5.253 kB
2020-11-26 16:40:40,30.2 kB,30.2 kB
2020-11-26 16:40:50,55.0 kB,54.4 kB
2020-11-26 16:41:00,8.304 kB,8.620 kB
2020-11-26 16:41:10,5.454 kB,6.663 kB
2020-11-26 16:41:20,5.437 kB,5.529 kB
2020-11-26 16:41:30,5.372 kB,4.586 kB
2020-11-26 16:41:40,5.372 kB,5.749 kB
2020-11-26 16:41:50,14.6 kB,13.7 kB
2020-11-26 16:42:00,82.1 kB,81.9 kB
2020-11-26 16:42:10,65.1 kB,64.1 kB
2020-11-26 16:42:20,5.682 kB,7.096 kB
2020-11-26 16:42:30,5.604 kB,5.994 kB
2020-11-26 16:42:40,5.707 kB,6.130 kB
2020-11-26 16:42:50,6.594 kB,6.285 kB
2020-11-26 16:43:00,122 kB,122 kB
2020-11-26 16:43:10,46.6 kB,47.1 kB
2020-11-26 16:43:20,5.650 kB,6.181 kB
2020-11-26 16:43:30,5.600 kB,7.179 kB
2020-11-26 16:43:40,4.580 kB,4.225 kB
2020-11-26 16:43:50,7.134 kB,8.557 kB
2020-11-26 16:44:00,101 kB,102 kB
2020-11-26 16:44:10,146 kB,145 kB
2020-11-26 16:44:20,6.663 kB,9.814 kB
2020-11-26 16:44:30,5.482 kB,8.086 kB
2020-11-26 16:44:40,5.804 kB,7.478 kB
2020-11-26 16:44:50,6.383 kB,8.606 kB
2020-11-26 16:45:00,97.6 kB,98.4 kB
2020-11-26 16:45:10,52.4 kB,62.2 kB
2020-11-26 16:45:20,6.252 kB,7.003 kB
2020-11-26 16:45:30,5.980 kB,5.780 kB
2020-11-26 16:45:40,6.128 kB,8.008 kB
2020-11-26 16:45:50,7.535 kB,8.698 kB
2020-11-26 16:46:00,72.8 kB,72.6 kB
2020-11-26 16:46:10,6.419 kB,8.399 kB
2020-11-26 16:46:20,6.426 kB,7.390 kB
2020-11-26 16:46:30,-10 MB,-16 MB

