"Time","gateway-master-thesis-graphql@docker","inventory-master-thesis-graphql@docker","keycloak-master-thesis-graphql@docker","orders-master-thesis-graphql@docker","payment-master-thesis-graphql@docker","shipping-master-thesis-graphql@docker"
2020-11-26 16:39:00,0,0,0,0,0,0
2020-11-26 16:39:10,0,0,0,0,0,0
2020-11-26 16:39:20,0,0,2,0,0,0
2020-11-26 16:39:30,121,90,2,31,0,0
2020-11-26 16:39:40,153,113,0,41,0,0
2020-11-26 16:39:50,94,65,0,28,0,0
2020-11-26 16:40:00,7,0,2,0,0,7
2020-11-26 16:40:10,295,68,2,0,67,160
2020-11-26 16:40:20,0,0,0,0,0,0
2020-11-26 16:40:30,0,0,0,0,0,0
2020-11-26 16:40:40,0,0,0,0,0,0
2020-11-26 16:40:50,97,32,0,0,32,32
2020-11-26 16:41:00,3,1,0,0,1,1
2020-11-26 16:41:10,0,0,0,0,0,0
2020-11-26 16:41:20,0,0,0,0,0,0
2020-11-26 16:41:30,0,0,0,0,0,0
2020-11-26 16:41:40,0,0,0,0,0,0
2020-11-26 16:41:50,22,0,0,11,11,0
2020-11-26 16:42:00,99,0,3,61,38,0
2020-11-26 16:42:10,163,0,0,112,51,0
2020-11-26 16:42:20,0,0,0,0,0,0
2020-11-26 16:42:30,0,0,0,0,0,0
2020-11-26 16:42:40,0,0,0,0,0,0
2020-11-26 16:42:50,0,0,0,0,0,0
2020-11-26 16:43:00,84,0,0,40,0,44
2020-11-26 16:43:10,116,0,0,76,0,40
2020-11-26 16:43:20,0,0,0,0,0,0
2020-11-26 16:43:30,0,0,0,0,0,0
2020-11-26 16:43:40,0,0,0,0,0,0
2020-11-26 16:43:50,0,0,0,0,0,0
2020-11-26 16:44:00,62,0,1,25,0,37
2020-11-26 16:44:10,222,42,0,59,0,121
2020-11-26 16:44:20,0,0,0,0,0,0
2020-11-26 16:44:30,0,0,0,0,0,0
2020-11-26 16:44:40,0,0,0,0,0,0
2020-11-26 16:44:50,0,0,0,0,0,0
2020-11-26 16:45:00,91,0,1,38,0,53
2020-11-26 16:45:10,83,0,0,78,0,5
2020-11-26 16:45:20,0,0,0,0,0,0
2020-11-26 16:45:30,0,0,0,0,0,0
2020-11-26 16:45:40,0,0,0,0,0,0
2020-11-26 16:45:50,0,0,0,0,0,0
2020-11-26 16:46:00,30,30,0,0,0,0
2020-11-26 16:46:10,28,28,0,0,0,0
2020-11-26 16:46:20,0,0,0,0,0,0
2020-11-26 16:46:30,0,0,0,0,0,0

