"Time","inventory","order","payment","shipping"
2020-11-26 16:39:10,5,661,597,598
2020-11-26 16:39:20,5,5,5,5
2020-11-26 16:39:30,1004,38,0.75,5
2020-11-26 16:39:40,567,31,5,5
2020-11-26 16:39:50,1038,1481,321,321
2020-11-26 16:40:00,5,80,11,12
2020-11-26 16:40:10,95,44948,7.8,21
2020-11-26 16:40:20,5,5,5,5
2020-11-26 16:40:30,5,5,5,5
2020-11-26 16:40:40,5,5,5,5
2020-11-26 16:40:50,364,6344,386,377
2020-11-26 16:41:00,5,1109,5,5
2020-11-26 16:41:10,12,5,5,6.5
2020-11-26 16:41:20,5,5,5,5
2020-11-26 16:41:30,5,5,5,5
2020-11-26 16:41:40,5,5,5,5
2020-11-26 16:41:50,324,993,526,321
2020-11-26 16:42:00,5,3413,3005,60
2020-11-26 16:42:10,5,16737,7097,5
2020-11-26 16:42:20,5,179,155,5
2020-11-26 16:42:30,5,5,5,5
2020-11-26 16:42:40,5,5,5,5
2020-11-26 16:42:50,324,323,389,321
2020-11-26 16:43:00,5,179,155,30
2020-11-26 16:43:10,5,16788,3989,3880
2020-11-26 16:43:20,5,5,5,5
2020-11-26 16:43:30,5,5,5,5
2020-11-26 16:43:40,5,5,5,5
2020-11-26 16:43:50,324,380,321,321
2020-11-26 16:44:00,5,1828,430,5
2020-11-26 16:44:10,645,26985,5,9144
2020-11-26 16:44:20,5,417,5,5
2020-11-26 16:44:30,5,105,5,5
2020-11-26 16:44:40,5,30,5,5
2020-11-26 16:44:50,352,480,321,372
2020-11-26 16:45:00,5,2747,5,5
2020-11-26 16:45:10,5,18031,30,6233
2020-11-26 16:45:20,5,30,5,5
2020-11-26 16:45:30,5,5,5,5
2020-11-26 16:45:40,5,5,5,5
2020-11-26 16:45:50,324,384,321,372
2020-11-26 16:46:00,5,2486,30,730
2020-11-26 16:46:10,1201,14647,5,5
2020-11-26 16:46:20,5,5,5,5
2020-11-26 16:46:30,5,5,5,5

