Time,REST,GraphQL
0,17.2,91.5
10,150.2,214.5
20,362.2,278.3
30,565.2,322.2
40,601.2,545.2
50,610.153,550.679
60,660.353,555.847
70,704.053,586.047
80,709.044,641.047
90,719.144,649.351
100,740.244,654.805
110,756.644,660.242
120,809.644,665.614
130,915.644,670.986
140,934.844,685.586
150,951.544,767.686
160,996.044,832.786
170,1059.544,838.468
180,1124.444,844.072
190,1245.444,849.779
200,1253.126,856.373
210,1261.995,978.373
220,1275.195,1024.973
230,1324.995,1030.623
240,1440.995,1036.223
250,1513.295,1040.803
260,1539.395,1047.937
270,1598.595,1148.937
280,1611.795,1294.937
290,1678.795,1301.6
300,1899.795,1307.082
310,2317.795,1312.886
320,2386.195,1319.269
330,2388.834,1416.869
340,2391.389,1469.269
350,2403.889,1475.521
360,2523.889,1481.501
370,2675.889,1487.629
380,2683.795,1495.164
390,nan,1567.964
400,nan,1574.383
410,nan,1580.809
