Time,REST,GraphQL
0,1100,4.67
10,312,4.67
20,279,4.67
30,204,2.41
40,204,5.46
50,204,5.46
60,204,5.46
70,204,5.46
80,204,5.46
90,204,5.46
100,204,5.46
110,204,5.46
120,204,5.46
130,204,5.46
140,204,5.46
150,25.9,4.53
160,30.2,4.53
170,26.4,4.53
180,56.4,4.53
190,56.4,4.53
200,56.4,4.53
210,56.4,4.53
220,56.4,4.53
230,56.4,4.53
240,56.4,4.53
250,56.4,4.53
260,56.4,4.53
270,56.4,7.48
280,56.4,7.48
290,56.4,7.48
300,62.4,7.48
310,45.9,7.48
320,45.9,7.48
330,45.9,7.08
340,45.9,7.08
350,45.9,7.08
360,45.9,7.08
370,45.9,7.08
380,45.9,7.08
390,,7.08
400,,7.08
410,,7.08
420,,7.08
