"Time","inventory-master-thesis-rest@docker","keycloak-master-thesis-rest@docker","orders-master-thesis-rest@docker","payment-master-thesis-rest@docker","shipping-master-thesis-rest@docker","Overall"
2020-11-26 14:30:20,,,,,,
2020-11-26 14:30:30,,,,,,
2020-11-26 14:30:40,,,,,,
2020-11-26 14:30:50,,,,,,
2020-11-26 14:31:00,303 ms,40.7 ms,1.1 s,,,349 ms
2020-11-26 14:31:10,42.5 ms,40.7 ms,312 ms,,,132 ms
2020-11-26 14:31:20,25.7 ms,40.7 ms,279 ms,,,110 ms
2020-11-26 14:31:30,36.0 ms,40.7 ms,204 ms,,,91.9 ms
2020-11-26 14:31:40,36.0 ms,40.7 ms,204 ms,,,91.9 ms
2020-11-26 14:31:50,36.0 ms,40.7 ms,204 ms,,,91.9 ms
2020-11-26 14:32:00,36.0 ms,1.83 ms,204 ms,,51.0 ms,26.4 ms
2020-11-26 14:32:10,36.0 ms,1.83 ms,204 ms,,51.0 ms,26.4 ms
2020-11-26 14:32:20,36.0 ms,1.83 ms,204 ms,,51.0 ms,26.4 ms
2020-11-26 14:32:30,36.0 ms,1.83 ms,204 ms,,51.0 ms,26.4 ms
2020-11-26 14:32:40,36.0 ms,1.83 ms,204 ms,,51.0 ms,26.4 ms
2020-11-26 14:32:50,36.0 ms,1.83 ms,204 ms,,51.0 ms,26.4 ms
2020-11-26 14:33:00,36.0 ms,2.03 ms,204 ms,59.1 ms,39.3 ms,33.5 ms
2020-11-26 14:33:10,36.0 ms,2.03 ms,204 ms,59.1 ms,39.3 ms,33.5 ms
2020-11-26 14:33:20,36.0 ms,2.03 ms,204 ms,59.1 ms,39.3 ms,33.5 ms
2020-11-26 14:33:30,36.0 ms,2.03 ms,25.9 ms,35.6 ms,39.3 ms,32.4 ms
2020-11-26 14:33:40,36.0 ms,2.03 ms,30.2 ms,50.4 ms,39.3 ms,43.7 ms
2020-11-26 14:33:50,36.0 ms,2.03 ms,26.4 ms,33.4 ms,39.3 ms,31.0 ms
2020-11-26 14:34:00,36.0 ms,4.59 ms,56.4 ms,33.4 ms,39.3 ms,30.5 ms
2020-11-26 14:34:10,36.0 ms,4.59 ms,56.4 ms,33.4 ms,39.3 ms,30.5 ms
2020-11-26 14:34:20,36.0 ms,4.59 ms,56.4 ms,33.4 ms,39.3 ms,30.5 ms
2020-11-26 14:34:30,36.0 ms,4.59 ms,56.4 ms,33.4 ms,39.3 ms,30.5 ms
2020-11-26 14:34:40,36.0 ms,4.59 ms,56.4 ms,33.4 ms,39.3 ms,30.5 ms
2020-11-26 14:34:50,36.0 ms,4.59 ms,56.4 ms,33.4 ms,39.3 ms,30.5 ms
2020-11-26 14:35:00,36.0 ms,4.59 ms,56.4 ms,33.4 ms,25.2 ms,25.2 ms
2020-11-26 14:35:10,36.0 ms,4.59 ms,56.4 ms,33.4 ms,25.2 ms,25.2 ms
2020-11-26 14:35:20,36.0 ms,4.59 ms,56.4 ms,33.4 ms,25.2 ms,25.2 ms
2020-11-26 14:35:30,36.0 ms,4.59 ms,56.4 ms,33.4 ms,25.2 ms,25.2 ms
2020-11-26 14:35:40,36.0 ms,4.59 ms,56.4 ms,33.4 ms,25.2 ms,25.2 ms
2020-11-26 14:35:50,36.0 ms,4.59 ms,56.4 ms,33.4 ms,25.2 ms,25.2 ms
2020-11-26 14:36:00,66.9 ms,19.9 ms,62.4 ms,33.4 ms,62.1 ms,56.7 ms
2020-11-26 14:36:10,26.2 ms,19.9 ms,45.9 ms,33.4 ms,62.1 ms,36.0 ms
2020-11-26 14:36:20,26.2 ms,19.9 ms,45.9 ms,33.4 ms,62.1 ms,36.0 ms
2020-11-26 14:36:30,26.2 ms,19.9 ms,45.9 ms,33.4 ms,62.1 ms,36.0 ms
2020-11-26 14:36:40,26.2 ms,19.9 ms,45.9 ms,33.4 ms,62.1 ms,36.0 ms
2020-11-26 14:36:50,26.2 ms,19.9 ms,45.9 ms,33.4 ms,62.1 ms,36.0 ms
2020-11-26 14:37:00,16.0 ms,19.9 ms,45.9 ms,33.4 ms,62.1 ms,16.0 ms
2020-11-26 14:37:10,16.0 ms,19.9 ms,45.9 ms,33.4 ms,62.1 ms,16.0 ms
2020-11-26 14:37:20,16.0 ms,19.9 ms,45.9 ms,33.4 ms,62.1 ms,16.0 ms

