"Time","inventory","order","payment","shipping"
2020-11-26 14:30:30,5,5,5,5
2020-11-26 14:30:40,324,322,321,321
2020-11-26 14:30:50,5,5,5,5
2020-11-26 14:31:00,5,11,5,5
2020-11-26 14:31:10,931,19,11,11
2020-11-26 14:31:20,541,28,5,5
2020-11-26 14:31:30,561,28,5,5
2020-11-26 14:31:40,543,403,321,321
2020-11-26 14:31:50,5,5,5,5
2020-11-26 14:32:00,5,5,5,5
2020-11-26 14:32:10,5,17245,5,7.8
2020-11-26 14:32:20,5,5,5,5
2020-11-26 14:32:30,5,5,5,5
2020-11-26 14:32:40,324,380,321,357
2020-11-26 14:32:50,5,5,5,5
2020-11-26 14:33:00,5,279,5,5
2020-11-26 14:33:10,5,16295,7.8,2285
2020-11-26 14:33:20,5,5,5,5
2020-11-26 14:33:30,5,5,5,5
2020-11-26 14:33:40,324,4209,1157,321
2020-11-26 14:33:50,5,4863,4205,5
2020-11-26 14:34:00,5,1220,930,255
2020-11-26 14:34:10,5,24972,4455,5
2020-11-26 14:34:20,5,5,5,5
2020-11-26 14:34:30,5,5,5,5
2020-11-26 14:34:40,324,380,389,321
2020-11-26 14:34:50,5,5,5,5
2020-11-26 14:35:00,5,3713,5,30
2020-11-26 14:35:10,5,6286,705,8755
2020-11-26 14:35:20,5,5,5,5
2020-11-26 14:35:30,5,5,5,5
2020-11-26 14:35:40,324,322,321,359
2020-11-26 14:35:50,5,5,5,5
2020-11-26 14:36:00,5,55,32,1280
2020-11-26 14:36:10,1553,23445,0.75,5591
2020-11-26 14:36:20,1059,10559,5,1905
2020-11-26 14:36:30,5,5,5,5
2020-11-26 14:36:40,352,380,321,359
2020-11-26 14:36:50,5,5,5,5
2020-11-26 14:37:00,5,5,30,55
2020-11-26 14:37:10,1693,7061,5,5
2020-11-26 14:37:20,5,5,5,5

