Time,REST,GraphQL
0,972,608
10,1551,3769
20,2150,3877
30,3738,48941
40,3758,48961
50,3778,48981
60,65083,49001
70,65103,56472
80,65123,57596
90,66505,57618
100,66525,57638
110,66819,57658
120,129454,57678
130,129474,59842
140,129494,66325
150,135505,90169
160,144583,90513
170,146993,90533
180,176430,90553
190,176450,91910
200,176470,92279
210,177884,116941
220,177904,116961
230,181657,116981
240,197408,117001
250,197428,118347
260,197448,120615
270,198774,157394
280,198794,157826
290,200166,157946
300,230755,157991
310,244283,159516
320,244303,162278
330,245715,186577
340,245735,186622
350,245830,186642
360,254594,186662
370,254614,188063
380,254614,191314
390,nan,207172
400,nan,207192
410,nan,207212
