Time,REST,GraphQL
0,119,121
10,474,274
20,876,368
30,1109,375
40,1109,670
50,1109,670
60,1209,670
70,1209,670
80,1209,767
90,1209,770
100,1209,770
110,1209,770
120,1409,770
130,1409,770
140,1409,792
150,1454,891
160,1619,1054
170,1709,1054
180,2009,1054
190,2009,1054
200,2009,1054
210,2009,1138
220,2009,1254
230,2009,1254
240,2309,1254
250,2309,1254
260,2309,1254
270,2309,1316
280,2309,1538
290,2309,1538
300,2685,1538
310,3203,1538
320,3203,1538
330,3203,1629
340,3203,1712
350,3203,1712
360,3697,1712
370,3697,1712
380,3697,1712
390,nan,1742
400,nan,1770
410,nan,1770
420,nan,1770
